node;clustering_coeffs;name_metrics;name_dataset;followers;popularity;genres;chart_hits
0Bi2atV5VL2b4sp0TLP8n0;1.0;Pete Devereux;Pete Devereux;9.0;10.0;[];
0BjrrCZ4elUhaZx9SxaYbu;1.0;Term & Rvchet;Term & Rvchet;329.0;22.0;[];
0Bm5ggbx6CfwEzokNSx91a;1.0;Tony Brey;Tony Brey;33.0;19.0;[];
0BqLWGc4GaK6N0TmmuvNM3;1.0;Makiavel;Makiavel;484.0;25.0;[];
0BxvCqDAsbc4HEc97dnDxS;1.0;Lamaislam;Lamaislam;79.0;13.0;[];
0C1BVPcZRnCh5b2mJIzuSh;1.0;Dj Jhon SP;Dj Jhon SP;6.0;4.0;[];
0C2bzaeNvJ4p4WYN3hj9L0;1.0;DJ Freshly;DJ Freshly;17143.0;52.0;['guaracha', 'perreo'];
0CELhrIhYqrVOUP0aCYRcB;1.0;An;An;2.0;24.0;[];
0CGxRo2G5p9IJn7U13ZBB2;1.0;Eris Gacha;Eris Gacha;40370.0;39.0;['rap napoletano'];
0CKFTuznZjiqiZp0jj1ipw;1.0;MC Lelo 2L;MC Lelo 2L;67.0;2.0;['funk paulista'];
0COura73ZASMp7U8WcnOUF;1.0;Djafskov;Djafskov;403.0;9.0;[];
0CWwQ8Kr0c2AJR8V8wZgUf;1.0;MazZz & Constantin;MazZz & Constantin;6.0;12.0;[];
0Cb9L0gpaQ54hKHSbYlfUk;1.0;Soliana;Soliana;2026.0;18.0;['frauenrap', 'german drill', 'german trap'];
0CgtSPbZJJsm8QnRfEMFNL;1.0;King Arthur;King Arthur;8.0;4.0;[];
0Cl1Gi1A6irb7VDzJOxIgv;1.0;Shinzo;Shinzo;893.0;44.0;['hardstyle'];
0ClkclGbzsEY0aBtqq8MrB;1.0;Vluarr;Vluarr;5329.0;41.0;[];
0CsJVJ8ju8opw7XAFPIB4K;1.0;Sivaraman;Sivaraman;29.0;33.0;[];
0CwAIKaq06Ep8gtTJ6zy0d;1.0;J Hart;J Hart;395.0;30.0;[];
0CwyahrQZF4Lc3LeZ4rN6e;1.0;Mc Naomy;Mc Naomy;79.0;8.0;[];
0CxxEat1WY9uCQQwSSztS4;1.0;Mekra;Mekra;1097.0;37.0;[];
0D0rrh5OVFbBgSYYOG5jtL;1.0;Karakter;Karakter;1301.0;31.0;[];
0D1VRw0eu2OENlTFZpOb2O;1.0;Binaural Beats Isochronic Tones Lab;Binaural Beats Isochronic Tones Lab;4465.0;39.0;['binaural', 'brain waves', 'sleep'];
0D2VCZf17n5XVzgFAnO9cA;1.0;Adrian Delgado;Adrian Delgado;4741.0;49.0;[];
0D664A8XpnX8j7kXjRWvuM;1.0;אחשתיים;אחשתיים;194.0;19.0;[];
0DHOOKfXu4aU7LsWjTdrIN;1.0;Paresh Pahuja;Paresh Pahuja;694.0;22.0;[];
