graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_real_100_156422_2_0.85_17366062781890016_57;156422;312840;1;0.6303474170361526;0.029072984531677094;0.0345;0.7014076242773437;0.000287610093465906
rand_random_real_100_156422_2_0.85_17366062831045406_58;156422;312840;1;0.6315237901416888;0.032071812794027356;0.0315;0.6966900952603465;0.0002608263858808085
rand_random_real_100_156422_2_0.85_1736606287771583_59;156422;312840;1;0.629509520520134;0.04390440630790107;0.0413;0.6948381844374469;0.00024973562502565667
rand_random_real_100_156422_2_0.85_17366062917117836_60;156422;312840;1;0.6321139146002301;0.015122134909921169;0.014;0.7014436533736018;0.00038469819127589513
rand_random_real_100_156422_2_0.85_17366062992142904_61;156422;312840;1;0.6316561230722996;0.02213924492832312;0.023;0.6963336095017848;0.00033871678189020625
rand_random_real_100_156422_2_0.85_1736606305074232_62;156422;312840;1;0.6309885607541602;0.025895380113195168;0.0276;0.7021915017934897;0.0003175215709733018
rand_random_real_100_156422_2_0.85_17366063178165054_63;156422;312840;1;0.6321303291239828;0.031019693522284734;0.033;0.6988301961205697;0.0002824656661236746
rand_random_real_100_156422_2_0.85_17366063225383239_64;156422;312840;1;0.6322332148743436;0.025953342820084182;0.0264;0.6983651525602806;0.000302570082993008
rand_random_real_100_156422_2_0.85_173660632773979_65;156422;312840;1;0.632108105514712;0.028075882763613943;0.0296;0.6982806465156719;0.0002931209633377499
rand_random_real_100_156422_2_0.85_17366063327714128_66;156422;312840;1;0.6314945027880171;0.032286109828809265;0.0317;0.7009038194525878;0.00027738433804596756
rand_random_real_100_156422_2_0.85_17366063373801394_67;156422;312840;1;0.6306580293032202;0.026026606105266206;0.0232;0.7023692330005245;0.0003227283881386303
rand_random_real_100_156422_2_0.85_17366063425192325_68;156422;312840;1;0.6319479507643434;0.035477508884697966;0.0378;0.6552635684153567;0.0003031424302750553
rand_random_real_100_156422_2_0.85_17366063469825041_69;156422;312840;1;0.6313793192618035;0.029348445569740957;0.0288;0.6982352107642618;0.0002983121611403966
rand_random_real_100_156422_2_0.85_17366063518610463_70;156422;312840;1;0.6317119406192496;0.020698648461955772;0.0206;0.7007621378697731;0.00034569184274493066
